week,showRange,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
201652,20161226~20170101,1,1,0,OLD,20161725,마스터,2016-12-21,19349867756,44.7,-5355442653,-21.7,44179755165,2438734,-549573,-18.4,5440922,1425,41586
201652,20161226~20170101,2,2,51,OLD,20163183,로그 원: 스타워즈 스토리,2016-12-28,6730265794,15.6,6720569794,69312.8,6739961794,769332,768726,126852.5,769938,907,18774
201652,20161226~20170101,3,3,1,OLD,20162025,씽,2016-12-21,4614716600,10.7,120827911,2.7,9147833289,611313,49518,8.8,1178327,721,11448
201652,20161226~20170101,4,4,-1,OLD,20167904,라라랜드,2016-12-07,4224795656,9.8,-1201121942,-22.1,20767028832,527760,-119557,-18.5,2472637,616,11189
201652,20161226~20170101,5,5,-3,OLD,20144641,판도라,2016-12-07,3530793700,8.2,-2828956502,-44.5,34692314064,465920,-356345,-43.3,4401833,668,11576
201652,20161226~20170101,6,6,-1,OLD,20152371,"당신, 거기 있어줄래요",2016-12-14,1146206200,2.7,-1934940900,-62.8,9165307248,148293,-235101,-61.3,1143445,560,6280
201652,20161226~20170101,7,7,41,OLD,20162727,루돌프와 많이있어,2016-12-28,911159600,2.1,903721600,12150.1,926773600,117695,116882,14376.6,119420,375,2304
201652,20161226~20170101,8,8,-2,OLD,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,707569200,1.6,-392272400,-35.7,1821568800,94252,-48062,-33.8,238452,358,2646
201652,20161226~20170101,9,9,34,OLD,20161872,너의 이름은.,2017-01-04,633142500,1.5,625286500,7959.3,640998500,73199,72217,7354.1,74181,275,695
201652,20161226~20170101,10,10,37,OLD,20165543,하이큐!! 승자와 패자,2016-12-28,152882000,0.4,145187500,1886.9,160576500,21873,21013,2443.4,22733,103,862
201701,20170102~20170108,1,1,8,OLD,20161872,너의 이름은.,2017-01-04,9104293942,24.9,8471151442,1338.0,9745292442,1108284,1035085,1414.1,1182465,947,16430
201701,20170102~20170108,2,2,-1,OLD,20161725,마스터,2016-12-21,8773964200,24.0,-10575903556,-54.7,52953719365,1075156,-1363578,-55.9,6516078,1171,27321
201701,20170102~20170108,3,3,54,OLD,20161084,패신저스,2017-01-04,4173235418,11.4,4170027418,129988.4,4176443418,503992,503591,125583.8,504393,608,11293
201701,20170102~20170108,4,4,-1,OLD,20162025,씽,2016-12-21,3085319000,8.4,-1529397600,-33.1,12233152289,410742,-200571,-32.8,1589069,681,9499
201701,20170102~20170108,5,5,-1,OLD,20167904,라라랜드,2016-12-07,2125512882,5.8,-2099282774,-49.7,22892541714,256302,-271458,-51.4,2728939,567,7826
201701,20170102~20170108,6,6,29,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,1818045400,5.0,1807494400,17131.0,1828596400,240694,239217,16196.1,242171,526,4999
201701,20170102~20170108,7,7,13,OLD,20150966,사랑하기 때문에,2017-01-04,1834166940,5.0,1801066940,5441.3,1968850940,229757,225745,5626.7,246167,542,8731
201701,20170102~20170108,8,8,-6,OLD,20163183,로그 원: 스타워즈 스토리,2016-12-28,1953125800,5.3,-4777139994,-71.0,8693087594,209141,-560191,-72.8,979079,759,11473
201701,20170102~20170108,9,9,-4,OLD,20144641,판도라,2016-12-07,1109973400,3.0,-2420820300,-68.6,35802287464,143856,-322064,-69.1,4545689,540,5977
201701,20170102~20170108,10,10,50,OLD,20151181,여교사,2017-01-04,703902760,1.9,700864760,23069.9,718495760,84669,84334,25174.3,86439,393,4068
201702,20170109~20170115,1,1,0,OLD,20161872,너의 이름은.,2017-01-04,10485496008,32.1,1381202066,15.2,20230788450,1306900,198616,17.9,2489365,845,26537
201702,20170109~20170115,2,2,30,OLD,20165443,모아나,2017-01-12,5401873692,16.6,5392161692,55520.6,5411585692,672028,670836,56278.2,673220,953,13530
201702,20170109~20170115,3,3,-1,OLD,20161725,마스터,2016-12-21,4182233300,12.8,-4591730900,-52.3,57135952665,512616,-562540,-52.3,7028694,813,15893
201702,20170109~20170115,4,4,19,OLD,20168381,얼라이드,2017-01-11,2790013379,8.5,2770626379,14291.2,2822164379,334159,331991,15313.2,337889,546,9898
201702,20170109~20170115,5,5,35,OLD,20164421,어쌔신 크리드,2017-01-11,2502225921,7.7,2493936921,30087.3,2510514921,304442,303652,38437.0,305232,566,10845
201702,20170109~20170115,6,6,-1,OLD,20167904,라라랜드,2016-12-07,1630619408,5.0,-494893474,-23.3,24523161122,195159,-61143,-23.9,2924098,403,5080
201702,20170109~20170115,7,7,-4,OLD,20161084,패신저스,2017-01-04,1192499900,3.7,-2980735518,-71.4,5368943318,150490,-353502,-70.1,654883,550,8813
201702,20170109~20170115,8,8,-4,OLD,20162025,씽,2016-12-21,889011900,2.7,-2196307100,-71.2,13122164189,120986,-289756,-70.5,1710055,500,4810
201702,20170109~20170115,9,9,-3,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,738452800,2.3,-1079592600,-59.4,2567049200,103921,-136773,-56.8,346092,460,4430
201702,20170109~20170115,10,10,-3,OLD,20150966,사랑하기 때문에,2017-01-04,627938800,1.9,-1206228140,-65.8,2596789740,83381,-146376,-63.7,329548,498,5473
201703,20170116~20170122,1,1,20,OLD,20151229,더 킹,2017-01-18,15304382429,38.2,15238815429,23241.6,15371867429,1845666,1838707,26422.0,1852899,1310,28416
201703,20170116~20170122,2,2,15,OLD,20151228,공조,2017-01-18,9346680285,23.3,9233629985,8167.7,9464480585,1140497,1127569,8721.9,1153989,976,20865
201703,20170116~20170122,3,3,-1,OLD,20165443,모아나,2017-01-12,4399189715,11.0,-1002683977,-18.6,9810775407,577786,-94242,-14.0,1251006,802,13827
201703,20170116~20170122,4,4,-3,OLD,20161872,너의 이름은.,2017-01-04,4445002406,11.1,-6040493602,-57.6,24675790856,562978,-743922,-56.9,3052343,788,17375
201703,20170116~20170122,5,5,38,OLD,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,2052777700,5.1,2048809700,51633.3,2056745700,276158,275615,50757.8,276701,570,6599
201703,20170116~20170122,6,6,-2,OLD,20168381,얼라이드,2017-01-11,984643300,2.5,-1805370079,-64.7,3806807679,123781,-210378,-63.0,461670,521,6893
201703,20170116~20170122,7,7,-4,OLD,20161725,마스터,2016-12-21,794196100,2.0,-3388037200,-81.0,57930148765,102248,-410368,-80.1,7130942,574,5834
201703,20170116~20170122,8,8,-2,OLD,20167904,라라랜드,2016-12-07,814788306,2.0,-815831102,-50.0,25337949428,99348,-95811,-49.1,3023446,357,3508
