date,rnum,rank,movieNm,audiAcc,audiCnt,openDt,scrnCnt,showCnt,salesChange,rankOldAndNew,salesAmt,salesShare,audiChange,movieCd,audiInten,rankInten,salesAcc,salesInten
20170101,1,1,마스터,5440922,505602,2016-12-21,1243,5715,-4.1,OLD,4395114100,46.2,-6,20161725,-32182,0,44179755165,-188384150
20170101,2,2,로그 원: 스타워즈 스토리,769938,173451,2016-12-28,810,3335,-17.9,OLD,1612424700,17.0,-18.8,20163183,-40093,0,6739961794,-351990650
20170101,3,3,씽,1178327,115152,2016-12-21,721,1755,-11.1,OLD,943975500,9.9,-13.9,20162025,-18516,0,9147833289,-118258900
20170101,4,4,판도라,4401833,87969,2016-12-07,576,1476,-4.6,OLD,736915900,7.8,-7.2,20144641,-6796,1,34692314064,-35315100
20170101,5,5,라라랜드,2472637,87529,2016-12-07,590,1578,-17.4,OLD,770889600,8.1,-19.4,20167904,-21007,-1,20767028832,-162044100
20170101,6,6,너의 이름은.,74181,37418,2017-01-04,275,342,10.8,OLD,325811500,3.4,9.5,20161872,3245,0,640998500,31854500
20170101,7,7,루돌프와 많이있어,119420,29910,2016-12-28,372,581,-8.9,OLD,243890000,2.6,-12,20162727,-4074,0,926773600,-23742600
20170101,8,8,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,238452,19405,2016-12-22,300,422,-17,OLD,154931400,1.6,-19.5,20162183,-4703,0,1821568800,-31745800
20170101,9,9,"당신, 거기 있어줄래요",1143445,18630,2016-12-14,261,572,-15.5,OLD,166222000,1.7,-18.1,20152371,-4126,0,9165307248,-30383700
20170101,10,10,극장판 도라에몽: 신 진구의 버스 오브 재팬,62699,3552,2016-12-21,97,107,-19.8,OLD,28628400,0.3,-21.7,20165285,-985,1,482548500,-7085700
20170102,1,1,마스터,5623862,182940,2016-12-21,1159,5375,-68.1,OLD,1401258500,41.9,-63.8,20161725,-322662,0,45581013665,-2993855600
20170102,2,2,씽,1248992,70665,2016-12-21,647,1718,-46,OLD,510172500,15.2,-38.6,20162025,-44487,1,9658005789,-433803000
20170102,3,3,로그 원: 스타워즈 스토리,819845,49907,2016-12-28,756,3163,-74.1,OLD,417096300,12.5,-71.2,20163183,-123544,-1,7157058094,-1195328400
20170102,4,4,라라랜드,2518411,45774,2016-12-07,556,1654,-53.8,OLD,356192200,10.6,-47.7,20167904,-41755,1,21123221032,-414697400
20170102,5,5,판도라,4439905,38072,2016-12-07,540,1495,-61.5,OLD,283473300,8.5,-56.7,20144641,-49897,-1,34975787364,-453442600
20170102,6,6,루돌프와 많이있어,138483,19063,2016-12-28,340,533,-44.1,OLD,136419000,4.1,-36.3,20162727,-10847,1,1063192600,-107471000
20170102,7,7,"당신, 거기 있어줄래요",1153578,10133,2016-12-14,305,616,-53.1,OLD,77880200,2.3,-45.6,20152371,-8497,2,9243187448,-88341800
20170102,8,8,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,247608,9156,2016-12-22,246,353,-58.7,OLD,64021400,1.9,-52.8,20162183,-10249,0,1885590200,-90910000
20170102,9,9,해리가 샐리를 만났을 때,16098,1507,1989-11-18,76,130,-30.2,OLD,11575000,0.3,-20.1,19890291,-378,4,125812200,-5005900
20170102,10,10,"나, 다니엘 블레이크",57298,1361,2016-12-08,39,60,-44.5,OLD,10006000,0.3,-34.7,20161763,-724,1,454890100,-8031800
