week,showRange,rnum,rank,movieNm,audiAcc,audiCnt,openDt,scrnCnt,showCnt,salesChange,rankOldAndNew,salesAmt,salesShare,audiChange,movieCd,audiInten,rankInten,salesAcc,salesInten
201652,20161226~20170101,1,1,마스터,5440922,2438734,2016-12-21,1425,41586,-21.7,OLD,19349867756,44.7,-18.4,20161725,-549573,0,44179755165,-5355442653
201652,20161226~20170101,2,2,로그 원: 스타워즈 스토리,769938,769332,2016-12-28,907,18774,69312.8,OLD,6730265794,15.6,126852.5,20163183,768726,51,6739961794,6720569794
201652,20161226~20170101,3,3,씽,1178327,611313,2016-12-21,721,11448,2.7,OLD,4614716600,10.7,8.8,20162025,49518,1,9147833289,120827911
201652,20161226~20170101,4,4,라라랜드,2472637,527760,2016-12-07,616,11189,-22.1,OLD,4224795656,9.8,-18.5,20167904,-119557,-1,20767028832,-1201121942
201652,20161226~20170101,5,5,판도라,4401833,465920,2016-12-07,668,11576,-44.5,OLD,3530793700,8.2,-43.3,20144641,-356345,-3,34692314064,-2828956502
201652,20161226~20170101,6,6,"당신, 거기 있어줄래요",1143445,148293,2016-12-14,560,6280,-62.8,OLD,1146206200,2.7,-61.3,20152371,-235101,-1,9165307248,-1934940900
201652,20161226~20170101,7,7,루돌프와 많이있어,119420,117695,2016-12-28,375,2304,12150.1,OLD,911159600,2.1,14376.6,20162727,116882,41,926773600,903721600
201652,20161226~20170101,8,8,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,238452,94252,2016-12-22,358,2646,-35.7,OLD,707569200,1.6,-33.8,20162183,-48062,-2,1821568800,-392272400
201652,20161226~20170101,9,9,너의 이름은.,74181,73199,2017-01-04,275,695,7959.3,OLD,633142500,1.5,7354.1,20161872,72217,34,640998500,625286500
201652,20161226~20170101,10,10,하이큐!! 승자와 패자,22733,21873,2016-12-28,103,862,1886.9,OLD,152882000,0.4,2443.4,20165543,21013,37,160576500,145187500
201701,20170102~20170108,1,1,너의 이름은.,1182465,1108284,2017-01-04,947,16430,1338.0,OLD,9104293942,24.9,1414.1,20161872,1035085,8,9745292442,8471151442
201701,20170102~20170108,2,2,마스터,6516078,1075156,2016-12-21,1171,27321,-54.7,OLD,8773964200,24.0,-55.9,20161725,-1363578,-1,52953719365,-10575903556
